Time,%CO2 reading,removal efficiency% at t,Avg %CO2 in t to t+1,Avg. CO2 removal frac. in t-t+1,gram of CO2 added,CO2 mass flow rate (gm./min),cumulative CO2,moles of CO2 in solution,CO2 concentration in mol/kg solution,CO2 mole ratio at inlet,CO2 mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),cross-sectional area,height of packed bed,pressure,inert gas flow rate (kmol/m2/hr),mass transfer coefficient (KGav),moles of ammonia reacted (assuming ABC),total ammonia moles in solution,unreacted moles of ammonia,unreacted NH3 moles (new calc.),ammonia % (new calc.),ammonia% at t,ln(ammonia%),ln(Kgav),ln(ammonia %),
224,2.2,89.1089108910891,1.85,0.908415841584158,23.7894642857143,,525.743035714286,11.9487053571429,2.62608908948195,,0.0224948875255624,2.65126426118254,,,,,0.342847671995096,11.9487053571429,,14.6897287698818,8.50775332345323,3.29288725223656,5.68559274888834,1.73793538718295,-1.07046903543058,1.19176476419178,-1.07046903543058
235,3.1,84.6534653465347,2.65,0.868811881188119,22.7523214285714,,548.495357142857,12.4658035714286,2.73973704866562,,0.0319917440660475,2.28957759537117,,,,,0.296076238011451,12.4658035714286,,14.1726305555961,7.99065510916751,3.0927467388437,5.48545223549548,1.70209953982623,-1.21713829697168,1.12905960830829,-1.21713829697168
246,4,80.1980198019802,3.55,0.824257425742574,21.5855357142857,,570.080892857143,12.9563839285714,2.84755690737834,,0.0416666666666667,2.01567909571288,,,,,0.260657111994601,12.9563839285714,,13.0378397186534,7.13686315615341,2.89382808450696,5.28653358115875,1.66516275341821,-1.34454948252891,1.06258022233525,-1.34454948252891
257,5.1,74.7524752475248,4.55,0.774752475247525,20.2891071428571,,590.37,13.4175,2.9489010989011,,0.053740779768177,1.74913431814902,,,,,0.226188930980665,13.4175,,12.5767236472248,6.67574708472484,2.70685649649676,5.09956199314854,1.6291546523457,-1.48638465115411,0.995787997219871,-1.48638465115411
268,6.3,68.8118811881188,5.7,0.717821782178218,18.7982142857143,,609.168214285714,13.8447321428571,3.04279827315542,,0.0672358591248666,1.51160462875362,,,,,0.195472829899663,13.8447321428571,,12.1494915043677,6.24851494186769,2.53362403476207,4.92632953141385,1.59459419380962,-1.63233388671031,0.929650702604807,-1.63233388671031
279,7,65.3465346534654,6.65,0.670792079207921,17.5666071428571,,626.734821428571,14.2439732142857,3.13054356357928,,0.0752688172043011,1.39071245892524,,,,,0.179839684763988,14.2439732142857,,11.7502504329391,5.84927387043912,2.37174128603758,4.76444678268936,1.5611814301959,-1.71568946514763,0.863624405219623,-1.71568946514763
290,8.2,59.4059405940594,7.6,0.623762376237624,16.335,,643.069821428571,14.6152232142857,3.21213697017268,,0.0893246187363834,1.20544545665145,,,,,0.155881921912107,14.6152232142857,,11.3790004329391,5.47802387043912,2.22120825032329,4.61391374697507,1.5290764658133,-1.85865646915405,0.798051304732501,-1.85865646915405
301,9,55.4455445544554,8.6,0.574257425742574,15.0385714285714,,658.108392857143,14.9570089285714,3.28725470957614,,0.0989010989010989,1.09402576231113,,,,,0.141473707922172,14.9570089285714,,11.0372147186534,5.13623815615341,2.08262228093554,4.47532777758732,1.49857959543266,-1.95564138890091,0.733627811671398,-1.95564138890091
313,9.7,51.980198019802,9.35,0.537128712871287,15.345,,673.453392857143,15.3057589285714,3.36390306122449,,0.107419712070875,1.00288379487432,,,,,0.129687703858275,15.3057589285714,,10.1628830653842,4.54290538681277,1.93414196843554,4.32684746508732,1.46483920873493,-2.04262599663912,0.659663800973749,-2.04262599663912
324,10.6,47.5247524752475,10.15,0.497524752475248,13.0291071428571,,686.4825,15.601875,3.42898351648352,,0.118568232662192,0.892990380430851,,,,,0.115476860427401,15.601875,,9.86676699395562,4.2467893153842,1.80807055102482,4.2007760476766,1.43526928147718,-2.15868511171146,0.592260282793188,-2.15868511171146
334,11.3,44.0594059405941,10.95,0.457920792079208,10.9017857142857,,697.384285714286,15.8496428571429,3.48343799058085,,0.12739571589628,0.812353379732556,,,,,0.105049303894901,15.8496428571429,,9.61899913681276,3.99902145824134,1.70258338584625,4.09528888249803,1.4098372599934,-2.25332547813001,0.532146736312756,-2.25332547813001
